detainer_detention_facility,county,city,state,uniqueid
DUBLIN FED.CORR.INST.,Alameda County,DUBLIN,CA,d1211
DUBOIS COUNTY CORR. FAC.,Dubois County,JASPER,IN,d1212
"DUBUQUE COUNTY JAIL, IOWA",Dubuque County,DUBUQUE,IA,d1213
DUKES COUNTY JAIL,Dukes County,EDGARTOWN,MA,d1214
DULUTH FED.PRISON CAMP,St. Louis County,DULUTH,MN,d1215
DUMAS POLICE DEPT.,Moore County,DUMAS,TX,d1216
DUMAS POLICE DEPT/JAIL,Desha County,DUMAS,AR,d1217
DUNCANVILLE POLICE DEPT.,Dallas County,DUNCANVILLE,TX,d1218
DUNKLIN COUNTY SHERIFF/JAIL,Dunklin County,KENNETT,MO,d1219
DUNN COUNTY SHERIFF,Dunn County,MENOMONIE,WI,d1220
DUPAGE COUNTY JAIL,DuPage County,WHEATON,IL,d1221
DUPLIN COUNTY JAIL,Duplin County,KENANSVILLE,NC,d1222
DURANGO HOLDROOM,La Plata County,DURANGO,CO,d1223
DURANGO JUVENILE FAC.,Maricopa County,PHOENIX,AZ,d1224
DURHAM COUNTY DET. CENTER,Durham County,DURHAM,NC,d1225
DUTCH HARBOR CITY JAIL,Aleutians West Census Area,UNALASKA,AK,d1226
"DUTCHESS CO.JAIL,POUGHKEE",Dutchess County,POUGHKEEPSIE,NY,d1227
DUVAL COUNTY JAIL,Duval County,SAN DIEGO,TX,d1228
DUVAL/JACKSONVILLE JAIL,Duval County,JACKSONVILLE,FL,d1229
DWIGHT CORRECTIONS,Livingston County,DWIGHT,IL,d1230
E. MO CORR. CENTER,Franklin County,PACIFIC,MO,d1231
EAGLE COUNTY JAIL,Eagle County,EAGLE,CO,d1232
EARLY COUNTY SHERIFF,Early County,BLAKELY,GA,d1233
EAST ARKANSAS REGIONAL,Lee County,BRICKEYS,AR,d1234
EAST BATON ROUGE JAIL,East Baton Rouge Parish,SCOTLANDVILLE,LA,d1235
EAST CARROLL DET CENTER,East Carroll Parish,LAKE PROVIDENCE,LA,d1236
EAST CHICAGO POLICE DEPT.,Lake County,EAST CHICAGO,IN,d1237
EAST FELICIANA PAR. PRISON,East Feliciana Parish,CLINTON,LA,d1238
EAST HAVEN POLICE DEPT.,New Haven County,EAST HAVEN,CT,d1239
EAST HIDALGO DETENTION CENTER,Hidalgo County,LA VILLA,TX,d1240
EAST JERSEY STATE PRISON,Union County,RAHWAY,NJ,d1241
EAST MESA DETENT FACILITY,San Diego County,SAN DIEGO,CA,d1242
EAST MOLINE CORRECTIONS,Rock Island County,EAST MOLINE,IL,d1243
EAST REC DIAG CORR CENTER,St. Francois County,BONNE TERRE,MO,d1244
EAST REGIONAL JUV. CENTER,Anoka County,LINO LAKES,MN,d1245
EASTERN C.F. NAPANOCH,Ulster County,NAPANOCH,NY,d1246
EASTERN CORRECTIONAL INST,Somerset County,WESTOVER,MD,d1247
EASTERN KENTUCKY CORR COM,Morgan County,WEST LIBERTY,KY,d1248
EASTERN OREGON CORR INST,Umatilla County,PENDLETON,OR,d1249
EASTERN OREGON YOUTH C.F.,Harney County,BURNS,OR,d1250
EASTERN REGIONAL JAIL,Berkeley County,MARTINSBURG,WV,d1251
EASTERN SHORE REGIONAL JAIL,Northampton County,EASTVILLE,VA,d1252
EASTLAKE CITY JAIL,Lake County,EASTLAKE,OH,d1253
EASTLAKE JUVENILE HALL,Los Angeles County,LOS ANGELES,CA,d1254
EASTLAND COUNTY SHERIFF,Eastland County,EASTLAND,TX,d1255
"EATON CO.,CHARLOTTE, MI",Eaton County,CHARLOTTE,MI,d1256
EAU CLAIRE COUNTY JAIL,Eau Claire County,EAU CLAIRE,WI,d1257
ECHOLS COUNTY SHERIFF,Echols County,STATENVILLE,GA,d1258
ECTOR COUNTY CORRECTION CENTER,Ector County,ODESSA,TX,d1259
ECTOR COUNTY LAW ENFORCEMENT,Ector County,ODESSA,TX,d1260
ECTOR COUNTY YOUTH CENTER,Ector County,ODESSA,TX,d1261
EDDIE WARRIOR CORR CENTER,Muskogee County,TAFT,OK,d1262
EDDY COUNTY JAIL,Eddy County,CARLSBAD,NM,d1263
EDEN DET CENTER,Concho County,EDEN,TX,d1264
EDEN HOLD ROOM,Concho County,EDEN,TX,d1265
EDGECOMBE C.F. MANHATTEN,Kings County,NEW YORK,NY,d1266
EDGECOMBE COUNTY JAIL,Edgecombe County,TARBORO,NC,d1267
EDGEFIELD COUNTY JAIL,Edgefield County,EDGEFIELD,SC,d1268
EDGEFIELD FED.CORR.INST.,Edgefield County,EDGEFIELD,SC,d1269
EDINBURG POLICE DEPT.,Hidalgo County,EDINBURG,TX,d1270
EDMOND POLICE DEPT.,Oklahoma County,EDMOND,OK,d1271
EDNA MAHAN WOMENS' CORR.,Hunterdon County,CLINTON,NJ,d1272
EDNA POLICE DEPT.,Jackson County,EDNA,TX,d1273
EDWARDS COUNTY JAIL,Edwards County,ROCKSPRINGS,TX,d1274
EFFINGHAM CO. SHERIFF,Effingham County,SPRINGFIELD,GA,d1275
EFFINGHAM COUNTY SHERIFF,Effingham County,EFFINGHAM,IL,d1276
"EGELER COR FAC,JACKSON,MI",Jackson County,JACKSON,MI,d1277
EL CAMPO POLICE DEPT.,Wharton County,EL CAMPO,TX,d1278
EL CENTRO SPC,Imperial County,EL CENTRO,CA,d1279
EL DORADO CORR. FACILITY,Butler County,EL DORADO,KS,d1280
EL DORADO COUNTY JAIL,El Dorado County,PLACERVILLE,CA,d1281
EL MIRAGE CITY JAIL,Maricopa County,EL MIRAGE,AZ,d1282
EL MONTE POLICE DEPT.,Los Angeles County,EL MONTE,CA,d1283
EL PASO COUNTY JAIL (CO),El Paso County,COLORADO SPRINGS,CO,d1284
EL PASO COUNTY JAIL (TX),El Paso County,EL PASO,TX,d1285
EL PASO FPC,El Paso County,EL PASO,TX,d1286
EL PASO SPC,El Paso County,EL PASO,TX,d1287
EL PASO SPC JUVENILE,El Paso County,EL PASO,TX,d1288
EL RENO FED.CORR.INST.,Canadian County,EL RENO,OK,d1289
EL SEGUNDO POLICE DEPT.,Los Angeles County,EL SEGUNDO,CA,d1290
ELBERT CO. DET. CENTER,Elbert County,ELBERTON,GA,d1291
ELBERT COUNTY JAIL,Elbert County,KIOWA,CO,d1292
ELGIN POLICE DEPT. JAIL,Kane County,ELGIN,IL,d1293
ELIZABETH CONTRACT D.F.,Union County,ELIZABETH,NJ,d1294
ELK COUNTY PRISON,Elk County,RIDGWAY,PA,d1295
ELKHART COUNTY JAIL,Elkhart County,GOSHEN,IN,d1296
ELKHART POLICE DEPT.,Elkhart County,ELKHART,IN,d1297
ELKO COUNTY JAIL,Elko County,ELKO,NV,d1298
ELKTON FED.CORR.INST.,Columbiana County,ELKTON,OH,d1299
ELLIS COUNTY JAIL,Ellis County,HAYS,KS,d1300
ELLIS COUNTY SHERIFF'S DEPT.,Ellis County,WAXAHACHIE,TX,d1301
ELLIS COUNTY SHERIFF/JAIL,Ellis County,ARNETT,OK,d1302
ELLSWORTH CORR. FACILITY,Ellsworth County,ELLSWORTH,KS,d1303
ELMIRA C.F.,Chemung County,ELMIRA,NY,d1304
ELMORE CORRECTIONAL FACILITY,Elmore County,ELMORE,AL,d1305
ELMORE COUNTY JAIL,Elmore County,MOUNTAIN HOME,ID,d1306
ELMORE COUNTY JAIL,Elmore County,WETUMPKA,AL,d1307
ELOY DET.CENTER - IHP/BOP,Pinal County,ELOY,AZ,d1308
ELOY FEDERAL CONTRACT FAC,Pinal County,ELOY,AZ,d1309
ELY STATE PRISON,White Pine County,ELY,NV,d1310
EMANUEL CO. DET. CENTER,Emanuel County,SWAINSBORO,GA,d1311
EMERG.PROTECT.SERV.SHELTER,Adams County,HASTINGS,NE,d1312
EMMET COUNTY JAIL,Emmet County,ESTHERVILLE,IA,d1313
EMMET COUNTY SHERIFF/JAIL,Emmet County,PETOSKEY,MI,d1314
ENFIELD CORR INST,Hartford County,ENFIELD,CT,d1315
ENGLAND POLICE DEPT/JAIL,Lonoke County,ENGLAND,AR,d1316
ENGLEWOOD FED.CORR.INST.,Arapahoe County,LITTLETON,CO,d1317
ENID COMMUNITY CORR CTR,Garfield County,ENID,OK,d1318
ENUMCLAW CITY JAIL,King County,ENUMCLAW,WA,d1319
ERATH COUNTY JAIL,Erath County,STEPHENVILLE,TX,d1320
ERIE CO HOLDING CENTER,Erie County,BUFFALO,NY,d1321
ERIE COUNTY CORRECTIONAL,Erie County,ALDEN,NY,d1322
ERIE COUNTY HOLDING CENTER,Erie County,BUFFALO,NY,d1323
ERIE COUNTY JAIL,Erie County,SANDUSKY,OH,d1324
"ERIE COUNTY JAIL, PA",Erie County,ERIE,PA,d1325
ESCAMBIA COUNTY DETENTION CENTER,Escambia County,BREWTON,AL,d1326
ESCAMBIA COUNTY JAIL,Escambia County,PENSACOLA,FL,d1327
ESMERALDA COUNTY JAIL,Esmeralda County,GOLDFIELD,NV,d1328
"ESSEX CO. JAIL, MIDDLETON",Essex County,MIDDLETON,MA,d1329
ESSEX COUNTY JAIL,Essex County,CALDWELL,NJ,d1330
ESSEX COUNTY JAIL,Essex County,ELIZABETHTOWN,NY,d1331
ESTILL FED.CORR.INST.,Hampton County,ESTILL,SC,d1332
ETOWAH COUNTY JAIL (AL),Etowah County,GADSDEN,AL,d1333
ETOWAH ERO HOLD ROOM,Etowah County,GADSDEN,AL,d1334
EUCLID CITY JAIL,Cuyahoga County,EUCLID,OH,d1335
EUGENE HOLDROOM,Lane County,EUGENE,OR,d1336
EULESS CITY JAIL,Tarrant County,EULESS,TX,d1337
EUNICE CITY JAIL,Lea County,EUNICE,NM,d1338
EUREKA COUNTY JAIL,Eureka County,EUREKA,NV,d1339
EVANGELINE PARISH JAIL,Evangeline Parish,VILLE PLATTE,LA,d1340
EVANS COUNTY SHERIFF,Evans County,CLAXTON,GA,d1341
EVERGALDES CORR. INSTITUTION,Miami-Dade County,MIAMI,FL,d1342
F.C.I. HERLONG,Lassen County,HERLONG,CA,d1343
F.C.I. MENDOTA,Fresno County,MENDOTA,CA,d1344
FACILITY 8 DETENTION FACILITY,San Diego County,SAN DIEGO,CA,d1345
FAIRBANKS CORR CTR,Fairbanks North Star Borough,FAIRBANKS,AK,d1346
FAIRFAX CO JAIL,Fairfax City,FAIRFAX,VA,d1347
FAIRFAX CO. ADULT DETENTION CENTER,Fairfax City,FAIRFAX,VA,d1348
FAIRFIELD COUNTY DET CENTER,Fairfield County,WINNSBORO,SC,d1349
FAIRFIELD COUNTY JAIL,Fairfield County,LANCASTER,OH,d1350
FAIRFIELD POLICE DEPT.,Fairfield County,FAIRFIELD,CT,d1351
FAIRHOPE CITY CORR. FACILITY,Baldwin County,FAIRHOPE,AL,d1352
FAIRTON FCI,Cumberland County,Fairton,NJ,d1353
FAIRVIEW HEIGHTS POLICE DEPT.,St. Clair County,FAIRVIEW HEIGHTS,IL,d1354
FALL RIVER COUNTY JAIL,Fall River County,HOT SPRINGS,SD,d1355
FALLS COUNTY JAIL,Falls County,MARLIN,TX,d1356
FANNIN COUNTY JAIL,Fannin County,BLUE RIDGE,GA,d1357
FANNIN COUNTY JAIL,Fannin County,BONHAM,TX,d1358
FARIBAULT COUNTY JAIL,Faribault County,BLUE EARTH,MN,d1359
FARMERS BRANCH POL. DEPT.,Dallas County,FARMERS BRANCH,TX,d1360
FARMINGTON CORR. CENTER,St. Francois County,FARMINGTON,MO,d1361
FARMINGTON HILLS POLICE DEPT.,Oakland County,FARMINGTON HILLS,MI,d1362
FAULK COUNTY JAIL,Faulk County,FAULKTON,SD,d1363
FAULKNER COUNTY JAIL,Faulkner County,CONWAY,AR,d1364
FAUQUIER COUNTY ADULT DET. CTR,Fauquier County,WARRENTON,VA,d1365
FAYETTE COUNTY DETENTION CENTER,Fayette County,LEXINGTON,KY,d1366
FAYETTE COUNTY JAIL,Fayette County,FAYETTE,AL,d1367
FAYETTE COUNTY JAIL,Fayette County,LA GRANGE,TX,d1368
FAYETTE COUNTY JAIL,Fayette County,UNIONTOWN,PA,d1369
FAYETTE COUNTY JAIL,Fayette County,VANDALIA,IL,d1370
FAYETTE COUNTY JAIL,Fayette County,WASHINGTON CRTHS,OH,d1371
FAYETTE COUNTY JAIL,Fayette County,WEST UNION,IA,d1372
FAYETTE COUNTY SHERIFF'S OFFICE,Fayette County,FAYETTEVILLE,GA,d1373
FAYETTEVILLE HOLD ROOM,Washington County,FAYETTEVILLE,AR,d1374
FCI FORREST CITY MED.,St. Francis County,FORREST CITY,AR,d1375
FCI GILMORE,Gilmer County,GLENVILLE,WV,d1376
FCI MCDOWELL,McDowell County,WELCH,WV,d1377
FCI VICTORVILLE,San Bernardino County,VICTORVILLE,CA,d1378
FDC HOUSTON,Harris County,HOUSTON,TX,d1379
FDC PHILADELPHIA,Philadelphia County,PHILADELPHIA,PA,d1380
FEDERAL TRANSFER CENTER OKC,Oklahoma County,OKLAHOMA CITY,OK,d1381
FENTRESS COUNTY SHERIFF,Fentress County,JAMESTOWN,TN,d1382
FERRIS POLICE DEPT.,Ellis County,FERRIS,TX,d1383
FERRY COUNTY JAIL,Ferry County,REPUBLIC,WA,d1384
FIFE CITY JAIL,Pierce County,FIFE,WA,d1385
FILLMORE COUNTY JAIL,Fillmore County,GENEVA,NE,d1386
FILLMORE COUNTY JAIL,Fillmore County,PRESTON,MN,d1387
FINNEY COUNTY JAIL,Finney County,GARDEN CITY,KS,d1388
FISHER COUNTY SHERIFF,Fisher County,ROBY,TX,d1389
FISHKILL C.F. BEACON NY,Dutchess County,BEACON,NY,d1390
FITCHBURG POLICE DEPT,Worcester County,FITCHBURG,MA,d1391
FIVE COUNTY JOINT,Union County,MARYSVILLE,OH,d1392
FIVE COUNTY JUV DET CENTER,Fremont County,ST ANTHONY,ID,d1393
FIVE OPOINTS CORRECTIONAL,Seneca County,ROMULUS,NY,d1394
FL DEPT OF CORRECTIONS,Leon County,TALLAHASSEE,FL,d1395
FLAGLER COUNTY JAIL,Flagler County,BUNNELL,FL,d1396
FLATHEAD COUNTY JAIL,Flathead County,KALISPELL,MT,d1397
FLORENCE ADMAX US PEN.,Fremont County,FLORENCE,CO,d1398
FLORENCE COUNTY DET CENTER,Florence County,EFFINGHAM,SC,d1399
FLORENCE FED.CORR.INST.,Fremont County,FLORENCE,CO,d1400
FLORENCE SPC,Pinal County,FLORENCE,AZ,d1401
FLORENCE STAGING FACILITY,Pinal County,FLORENCE,AZ,d1402
FLORENCE US PEN,Fremont County,FLORENCE,CO,d1403
"FLORIDA CORR INST, LOWELL",Marion County,DLOWELL,FL,d1404
"FLORIDA CORR INST, LOWELL",Marion County,OCALA,FL,d1405
FLORIDA DEPT OF CORR. COR,Leon County,TALLAHASSEE,FL,d1406
"FLORIDA ST. PRIS.,STARKE",Bradford County,RAIFORD,FL,d1407
"FLORIDA ST. PRIS.,STARKE",Bradford County,STARKE,FL,d1408
FLORISSANT POLICE DEPT.,St. Louis County,FLORISSANT,MO,d1409
FLOWER MOUND CITY JAIL,Denton County,FLOWER MOUND,TX,d1410
FLOYD COUNTY JAIL,Floyd County,NEW ALBANY,IN,d1411
FLOYD COUNTY JAIL,Floyd County,ROME,GA,d1412
FLOYD COUNTY SHERIFF,Floyd County,FLOYDADA,TX,d1413
"FLOYD COUNTY, IOWA JAIL",Floyd County,CHARLES CITY,IA,d1414
FOLEY POL. DEPT. JAIL,Baldwin County,FOLEY,AL,d1415
FOLSOM STATE PRISON,Sacramento County,REPRESA,CA,d1416
FOND DU LAC COUNTY SHERIFF/JAIL,Fond du Lac County,FOND DU LAC,WI,d1417
FORD COUNTY JAIL,Ford County,DODGE CITY,KS,d1418
FORD COUNTY JAIL,Ford County,PAXTON,IL,d1419
FOREST CITY FED.CORR.INST,St. Francis County,FORREST CITY,AR,d1420
FOREST PARK POLICE DEPT.,Cook County,FOREST PARK,IL,d1421
FOREST PK CITY JAIL,Clayton County,FOREST PARK,GA,d1422
FORKS CITY JAIL,Clallam County,FORKS,WA,d1423
FORREST COUNTY A.D.C.,Forrest County,HATTIESBURG,MS,d1424
FORSYTH COUNTY JAIL,Forsyth County,WINSTON-SALEM,NC,d1425
FORSYTH COUNTY SHERIFF'S OFFICE,Forsyth County,CUMMING,GA,d1426
FORT DIX FED.CORR.INST.,Burlington County,FORT DIX,NJ,d1427
FORT MYERS SHERIFF,Lee County,FT.MYERS,FL,d1428
FORT PAYNE POLICE DEPT/JAIL,DeKalb County,FORT PAYNE,AL,d1429
FORT SMITH HOLDROOM,Sebastian County,FORT SMITH,AR,d1430
FORT WORTH FED.MED.CENTER,Tarrant County,FT. WORTH,TX,d1431
FORT WORTH POLICE DEPT,Tarrant County,FT WORTH,TX,d1432
FOUNTAIN VALLEY POLICE DEPT.,Orange County,FOUNTAIN VALLEY,CA,d1433
FOX LAKE CORRECTIONAL INS,Dodge County,FOX LAKE,WI,d1434
FRANKLIN C.F.,Franklin County,MALONE,NY,d1435
FRANKLIN CO. REGION JAIL,Franklin County,FRANKFORT,KY,d1436
FRANKLIN COUNTY,Franklin County,PASCO,WA,d1437
FRANKLIN COUNTY DETENTION CENTER,Franklin County,LOUISBURG,NC,d1438
FRANKLIN COUNTY JAIL,Franklin County,BAREHILL,NY,d1439
FRANKLIN COUNTY JAIL,Franklin County,BENTON,IL,d1440
FRANKLIN COUNTY JAIL,Franklin County,CHAMBERSBURG,PA,d1441
FRANKLIN COUNTY JAIL,Franklin County,COLUMBUS,OH,d1442
FRANKLIN COUNTY JAIL,Franklin County,EASTPOINT,FL,d1443
FRANKLIN COUNTY JAIL,Franklin County,HAMPTON,IA,d1444
FRANKLIN COUNTY JAIL,Franklin County,MT. VERNON,TX,d1445
FRANKLIN COUNTY JAIL,Franklin County,OTTAWA,KS,d1446
FRANKLIN COUNTY JAIL,Franklin County,OZARK,AR,d1447
FRANKLIN COUNTY JAIL,Franklin County,PRESTON,ID,d1448
FRANKLIN COUNTY JAIL,Franklin County,ROCKY MOUNT,VA,d1449
FRANKLIN COUNTY JAIL,Franklin County,RUSSELLVILLE,AL,d1450
FRANKLIN COUNTY JAIL,Franklin County,UNION,MO,d1451
FRANKLIN COUNTY JAIL,Franklin County,WINCHESTER,TN,d1452
"FRANKLIN COUNTY JAIL, ME",Franklin County,FARMINGTON,ME,d1453
"FRANKLIN COUNTY JAIL, VT",Franklin County,ST ALBANS,VT,d1454
FRANKLIN COUNTY JUV. CTR,Franklin County,COLUMBUS,OH,d1455
FRANKLIN COUNTY SHERIFF'S OFFICE,Franklin County,CARNESVILLE,GA,d1456
FRANKLIN HOUSE OF CORRECTIONS,Franklin County,GREENFIELD,MA,d1457
FRANKLIN PARISH DET. CENTER,Franklin Parish,WINNSBORO,LA,d1458
FRANKLIN PRE-RELEASE,Franklin County,COLUMBUS,OH,d1459
FREDERICK COUNTY DET. CEN,Frederick County,FREDERICK,MD,d1460
"FREEBORN COUNTY JAIL, MN",Freeborn County,ALBERT LEA,MN,d1461
FREEPORT POLICE DEPT.,Brazoria County,FREEPORT,TX,d1462
FREESTONE COUNTY JAIL,Freestone County,FAIRFIELD,TX,d1463
FREMONT COUNTY JAIL,Fremont County,ST. ANTHONY,ID,d1464
"FREMONT COUNTY JAIL, CO",Fremont County,CANON CITY,CO,d1465
"FREMONT COUNTY JAIL, WY",Fremont County,LANDER,WY,d1466
FREMONT COUNTY SHERIFF,Fremont County,SIDNEY,IA,d1467
FRESNO COUNTY JAIL,Fresno County,FRESNO,CA,d1468
FRESNO COUNTY JAIL/MAIN,Fresno County,FRESNO,CA,d1469
FRESNO COUNTY JAIL/NEW,Fresno County,FRESNO,CA,d1470
FRESNO COUNTY JAIL/SOUTH,Fresno County,FRESNO,CA,d1471
FRESNO HOLDROOM,Fresno County,FRESNO,CA,d1472
FRIENDSWOOD POLICE DEPT.,Galveston County,FRIENDSVILLE,TX,d1473
FRIO COUNTY JAIL,Frio County,PEARSALL,TX,d1474
FRIONA POLICE DEPT.,Parmer County,FRIONA,TX,d1475
FRISCO POLICE DEPT.,Collin County,FRISCO,TX,d1476
FRONTIER COUNTY JAIL,Frontier County,CURTIS,NE,d1477
FT LAUDERDALE CITY JAIL,Broward County,FT.LAUDERDALE,FL,d1478
FT WORTH POLICE DEPT.,Tarrant County,FORT WORTH,TX,d1479
FT. BEND COUNTY JAIL,Fort Bend County,RICHMOND,TX,d1480
FULLERTON CITY JAIL,Orange County,FULLERTON,CA,d1481
FULTON C.F. BRONX NY,Bronx County,BRONX,NY,d1482
FULTON COUNTY JAIL,Fulton County,ATLANTA,GA,d1483
FULTON COUNTY JAIL,Fulton County,HICKMAN,KY,d1484
FULTON COUNTY JAIL,Fulton County,JOHNSTOWN,NY,d1485
FULTON COUNTY JAIL,Fulton County,LEWISTON,IL,d1486
FULTON COUNTY JAIL,Saline County,SALEM,AR,d1487
FULTON DIAGNOSTIC CENTER,Callaway County,FULTON,MO,d1488
FURNAS COUNTY JAIL,Furnas County,BEAVER CITY,NE,d1489
"G ROBERT COTTON,JACKSON",Jackson County,JACKSON,MI,d1490
GA BAPTIST CHILDREN HOME,Pike County,MEANSVILLE,GA,d1491
GADSDEN COUNTY JAIL,Gadsden County,QUINCY,FL,d1492
GAGE COUNTY JAIL,Gage County,BEATRICE,NE,d1493
GAINES COUNTY SHERIFF,Gaines County,SEMINOLE,TX,d1494
GALENA PARK POLICE DEPT.,Harris County,GALENA PARK,TX,d1495
GALLATIN COUNTY JAIL,Gallatin County,BOZEMAN,MT,d1496
GALVESTON COUNTY JUVENILE,Galveston County,TEXAS CITY,TX,d1497
GALVESTON COUNTY SHERIFF,Galveston County,GALVESTON,TX,d1498
GANADO POLICE DEPT.,Jackson County,GANADO,TX,d1499
GANDERHILL,New Castle County,WILMINGTON,DE,d1500
"GARDEN CO, NE, JAIL",Garden County,OSHKOSH,NE,d1501
GARDEN GROVE POLICE DEPT.,Orange County,GARDEN GROVE,CA,d1502
GARDENA POLICE DEPT.,Los Angeles County,GARDENA,CA,d1503
GARFIELD COUNTY JAIL,Garfield County,GLENWOOD SPGS,CO,d1504
GARFIELD COUNTY JAIL,Garfield County,PANGUITCH,UT,d1505
GARFIELD COUNTY JAIL,Garfield County,POMEROY,WA,d1506
"GARFIELD COUNTY, ENID OK",Garfield County,ENID,OK,d1507
GARFIELD HGTS CITY JAIL,Cuyahoga County,GARFIELD HGTS,OH,d1508
GARLAND COUNTY SHERIFF'S DEPT,Garland County,HOT SPRINGS,AR,d1509
GARLAND POLICE DEPT.,Dallas County,GARLAND,TX,d1510
GARNER CORR INST,Fairfield County,NEWTOWN,CT,d1511
GARVIN COUNTY JAIL,Garvin County,PAULS VALLEY,OK,d1512
GARZA COUNTY JAIL,Garza County,POST,TX,d1513
GARZA WEST TRANSFER FACILITY,Bee County,BEEVILLE,TX,d1514
GASTON COUNTY JAIL,Gaston County,GASTONIA,NC,d1515
GATES CORR INST,New London County,NIANTIC,CT,d1516
GEARY COUNTY JAIL,Geary County,JUNCTION CITY,KS,d1517
GEAUGA COUNTY JAIL,Geauga County,CHARDON,OH,d1518
GEIGER CORRECTIONS CENTER,Spokane County,SPOKANE,WA,d1519
GEM COUNTY JAIL,Gem County,EMMETT,ID,d1520
"GENESEE CO., FLINT, MI.",Genesee County,FLINT,MI,d1521
GENESEE COUNTY JAIL,Genesee County,BATAVIA,NY,d1522
GENEVA CITY JAIL,Ashtabula County,GENEVA,OH,d1523
GENEVA COUNTY JAIL,Geneva County,GENEVA,AL,d1524
GEO WESTERN REG. DET. FAC.,San Diego County,SAN DIEGO,CA,d1525
GEORGE BAILEY DETENT FACI,San Diego County,SAN DIEGO,CA,d1526
GEORGE COUNTY REGIONAL C.F.,George County,LUCEDALE,MS,d1527
GEORGE W HILL CORRECTIONAL FAC.,Delaware County,THORNTON,PA,d1528
GEORGE WEST POLICE DEPT.,Live Oak County,GEORGE WEST,TX,d1529
GEORGE-GREENE COUNTY REG. COR. FAC,George County,LUCEDALE,MS,d1530
GEORGETOWN COUNTY DET CENTER,Georgetown County,GEORGETOWN,SC,d1531
GEORGIA DEPT OF CORRECTIO,Fulton County,ATLANTA,GA,d1532
GEORGIA DIAG & CLASS STATE PRISON,Butts County,JACKSON,GA,d1533
GERMANTOWN POLICE DEPT.,Shelby County,GERMANTOWN,TN,d1534
GIBSON COUNTY JAIL,Gibson County,PRINCETON,IN,d1535
GIBSON COUNTY JAIL,Gibson County,TRENTON,TN,d1536
GIDDINGS POLICE DEPT.,Lee County,GIDDINGS,TX,d1537
GILA COUNTY JAIL,Gila County,GLOBE,AZ,d1538
GILA COUNTY JUVENILE DET CENTER,Gila County,GLOBE,AZ,d1539
GILCHRIST COUNTY JAIL,Gilchrist County,TRENTON,FL,d1540
GILES COUNTY SHERIFF,Giles County,PULASKI,TN,d1541
GILLIAM YOUTH CENTER,Denver County,DENVER,CO,d1542
GILLISPIE CTY JAIL,Gillespie County,FREDERICKSBURG,TX,d1543
GILMER COUNTY DET. CENTER,Gilmer County,ELLIJAY,GA,d1544
GILPIN COUNTY SHERIFF,Gilpin County,BLACK HAWK,CO,d1545
GLADES CO. DETENTION CENTER FEMALE,Glades County,MOORE HAVEN,FL,d1546
GLADES CORRECTIONAL,Palm Beach County,BELLE GLADES,FL,d1547
GLADES COUNTY DETENTION CENTER,Glades County,MOORE HAVEN,FL,d1548
GLASSCOCK COUNTY SHERIFF,Glasscock County,GARDEN CITY,TX,d1549
GLEN ELLYN POLICE DEPT.,DuPage County,GLEN ELLYN,IL,d1550
GLEN HELEN DETENTION CTR.,San Bernardino County,DEVORE,CA,d1551
GLEN HELEN DETENTION CTR.,San Bernardino County,SAN BERNADINO,CA,d1552
GLENDALE CITY JAIL,Maricopa County,GLENDALE,AZ,d1553
GLENDALE HEIGHTS POLICE DEPT.,DuPage County,GLENDALE HEIGHTS,IL,d1554
GLENDALE POLICE DEPT,Los Angeles County,GELNDALE,CA,d1555
GLENDALE POLICE DEPT,Los Angeles County,GLENDALE,CA,d1556
GLENDALE POLICE DEPT.,Arapahoe County,GLENDALE,CO,d1557
GLENDALE POLICE DEPT.,St. Louis County,GLENDALE,MO,d1558
GLENDORA POLICE DEPT.,Los Angeles County,GLENDORA,CA,d1559
GLENN COUNTY JAIL,Glenn County,WILLOWS,CA,d1560
GLENN HEIGHTS POLICE DEPT.,Dallas County,GLENN HEIGHTS,TX,d1561
GLOUCESTER COUNTY JAIL,Gloucester County,WOODBURY,NJ,d1562
GLYNN COUNTY DETENTION CENTER,Glynn County,BRUNSWICK,GA,d1563
GOGEBIC COUNTY JAIL,Gogebic County,BESSEMER,MI,d1564
GOLIAD COUNTY SHERIFF,Goliad County,GOLIAD,TX,d1565
GONZALES COUNTY JAIL,Gonzales County,GONZALEZ,TX,d1566
GOODHUE COUNTY JAIL,Goodhue County,RED WING,MN,d1567
GOODING COUNTY JAIL,Gooding County,GOODING,ID,d1568
GOOSE CREEK CORRECTIONAL CENTER,Matanuska-Susitna Borough,WASILLA,AK,d1569
GORDON COUNTY SHERIFF,Gordon County,NORTH CALHOUN,GA,d1570
GOSHEN COUNTY JAIL,Goshen County,TORRINGTON,WY,d1571
GOSHEN SECURE CENTER - JUVENILE,Orange County,GOSHEN,NY,d1572
GOUVERNEUR CORRECTIONAL,St. Lawrence County,GOUVERNEUR,NY,d1573
GOWANDA CF,Cattaraugus County,GOWANDA,NY,d1574
"GR RAPIDS COR CEN, GR,MI",Kent County,GRAND RAPIDS,MI,d1575
GRACEVILLE CORRECTIONAL FACILITY,Jackson County,GRACEVILLE,FL,d1576
GRADY COUNTY SHERIFF,Grady County,CAIRO,GA,d1577
"GRADY COUNTY, CHICKASHA",Grady County,CHICKASHA,OK,d1578
GRAFTON CORRECTIONAL,Lorain County,GRAFTON,OH,d1579
